result_schema_version,case_id,selector_id,eviction_id,node_count,capacity_mode,capacity_blocks,replay_mode,visibility,view_mode,view_delay_ms,view_loss_probability,replay_speed,seed,prefill_uncached_token_ms,prefill_concurrency_per_node,prefix_anchor_k,soft_alpha,minimum_shared_blocks,family_size_cap,hot_block_percentile,cache_discount,similar_band_ratio,completed_requests,block_ref_hit_rate,token_weighted_hit_rate,logical_block_ref_hit_rate,logical_token_weighted_hit_rate,request_load_max_mean,input_token_load_max_mean,uncached_token_load_max_mean,request_load_cv,request_load_gini,queue_wait_normalized_ms_p50,queue_wait_normalized_ms_p95,queue_wait_normalized_ms_p99,queue_wait_normalized_ms_max,offered_load_ratio,eviction_count,rejected_placements,unique_resident_blocks,replica_factor,fallback_count,no_stat_fallback_count,inflight_wait_tokens,inflight_wait_ms,stranded_block_references,eviction_regret,one_hit_pollution,affinity_kept,affinity_broken,trace_sha256,config_sha256,git_sha,git_dirty
phase-a-result-v3,S4-HOT-90,S4_SESSION_AFFINITY,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,90,0.7,0.1,23608,0.5117428350873079,0.5286069226274699,0.5117428350873079,0.5286069226274699,1.039647577092511,1.0197867022181544,1.023743348526241,0.032701876749452616,0.018129447644866126,232.9199999999255,3336.62099999991,6670.2558000000245,17473.440000000002,0.39831085,149871,0,46475,1.0758472296933836,2777,0,0,0.0,0,67,139392,20831,2777,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,f7401c7145180a4f52fd7887cb373785c73bcb0602eab541924be6e205cd396f,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S4-HOT-95,S4_SESSION_AFFINITY,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,95,0.7,0.1,23608,0.5117428350873079,0.5286069226274699,0.5117428350873079,0.5286069226274699,1.039647577092511,1.0197867022181544,1.023743348526241,0.032701876749452616,0.018129447644866126,232.9199999999255,3336.62099999991,6670.2558000000245,17473.440000000002,0.39831085,149871,0,46475,1.0758472296933836,2777,0,0,0.0,0,67,139392,20831,2777,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,e055d0fa3a010507cb645fff407e011276ad07d492f8ce3240cd2cd8959a945a,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S4-HOT-99,S4_SESSION_AFFINITY,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.5117428350873079,0.5286069226274699,0.5117428350873079,0.5286069226274699,1.039647577092511,1.0197867022181544,1.023743348526241,0.032701876749452616,0.018129447644866126,232.9199999999255,3336.62099999991,6670.2558000000245,17473.440000000002,0.39831085,149871,0,46475,1.0758472296933836,2777,0,0,0.0,0,67,139392,20831,2777,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,6bdfb24c6cbb1d38681ae637d696024b8b9de43a94c20fb7831c0a32ddd796c8,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S4-HOT-100,S4_SESSION_AFFINITY,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,100,0.7,0.1,23608,0.5212480090679018,0.538474639058331,0.5212480090679018,0.538474639058331,1.1047102677058624,1.0852190248160105,1.0636504690234247,0.07580589881316806,0.04144781430023725,293.78999999994994,3284.216999999515,6422.296599999803,14702.819999999949,0.38997297083333327,145980,0,47130,1.0608953957139826,2793,0,0,0.0,0,52,136410,20815,2793,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,53de847293dd6f6916ae495a5aace349d271e86457555a65beb2578f935ba4d0,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-DISCOUNT-0.25,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.25,0.1,23608,0.5011970021204037,0.5177938469977131,0.5011970021204037,0.5177938469977131,1.5611657065401559,1.4830410244450782,1.5011022176004956,0.43602711740048855,0.24341324974584877,1502.5800000000745,7170.02699999972,11411.294999999442,22482.900000000023,0.407447525,154188,0,46321,1.0794240193432785,0,0,0,0.0,0,104,145734,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,575e03d9d820310e8ba06060f91697f6ba6f3f59a58b5a30e5c95710998e20a4,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-DISCOUNT-0.7,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.5013680024233186,0.5179272055122216,0.5013680024233186,0.5179272055122216,1.4940698068451372,1.4782395261825827,1.523431060944721,0.42864552787822563,0.23663588614029152,1386.3299999997253,6982.823999999715,10801.504799999973,22972.98000000004,0.40733484166666667,154118,0,47005,1.0637166258908626,0,0,0,0.0,0,121,145774,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,554d255e7e619c9d199dfc27cece64ef038089c156cb40931fefb224ec1979d0,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-DISCOUNT-1.0,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,1.0,0.1,23608,0.5089677444571473,0.5257606424436472,0.5089677444571473,0.5257606424436472,1.5670958996950186,1.5411265375203889,1.5546170360989167,0.45089310010176004,0.2513766519823788,1355.1600000003236,6895.766999999923,11072.873999999549,22972.98000000004,0.4007158583333333,151007,0,47760,1.0469011725293131,0,0,0,0.0,2,109,142029,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,e326b14de6f5f8d4f27f63c20bcf1d45602dfa927fd97a9ecb6ffc6ff36a35fb,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-DISCOUNT-2.0,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,2.0,0.1,23608,0.5180527462648649,0.5351855054463003,0.5180527462648649,0.5351855054463003,1.6167400881057268,1.5523105849385819,1.5895325510715927,0.4915472622835332,0.2739325652321247,1294.0200000000186,6792.1050000001305,10554.310200000305,22972.98000000004,0.392752175,147288,0,48096,1.0395874916833001,0,0,0,0.0,110,97,138049,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,497f657bb0ddf7e5ed8b56486309341ded393a110c6d835c18a0e69044c2bffb,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-BAND-0.01,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.01,23608,0.5065077829566441,0.5232296808832428,0.5065077829566441,0.5232296808832428,1.6019993222636395,1.5639163458666387,1.5985362123771258,0.4719638055534428,0.2633852931209759,1391.250000000262,7047.512999999586,11136.737999999725,22512.18000000005,0.4028544333333333,152014,0,47381,1.0552753213313353,0,0,0,0.0,0,106,142655,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,e23e6c85d66d7075731132c27abbb0f2c32c5176776efb0bb11427da1da53480,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-BAND-0.05,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.05,23608,0.5037522352182452,0.5203958765551259,0.5037522352182452,0.5203958765551259,1.5487970179600135,1.4938763988177208,1.503768424787828,0.4391981642229623,0.24466282616062363,1359.180000000284,6999.800999999714,11179.746599999862,22482.900000000023,0.4052489,153142,0,46990,1.0640561821664183,0,0,0,0.0,0,98,143532,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,5d5747bb90aa8e81704e7b98b004eff14acf8ae4b741b3fc786929315f8422ac,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-BAND-0.1,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.5013680024233186,0.5179272055122216,0.5013680024233186,0.5179272055122216,1.4940698068451372,1.4782395261825827,1.523431060944721,0.42864552787822563,0.23663588614029152,1386.3299999997253,6982.823999999715,10801.504799999973,22972.98000000004,0.40733484166666667,154118,0,47005,1.0637166258908626,0,0,0,0.0,0,121,145774,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,fb0d7afa2716d288d1e3f4dfd3e2f1d23037d82477a1a35358a30e18879c797e,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,S5-BAND-0.2,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.2,23608,0.5052057377930212,0.5218989755404241,0.5052057377930212,0.5218989755404241,1.5837004405286343,1.5418983442522631,1.5768282001573515,0.4415990208726346,0.24667485598102346,1412.0999999998603,7085.303999999815,11017.66980000015,22972.98000000004,0.40397883333333334,152547,0,47091,1.0617740120192818,0,0,0,0.0,0,104,143477,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,985589b22424996c4c5a6ba1400870158b4461661e06b5832dcd408303e2cc32,66c65bf376cf6d15690472605a86dfd67ce83efe,False
