arrival_scale,cache_capacity_entries,capacity_binding,cell_id,census_age_work,d_utilization,decision_fingerprint,hit_ceiling,kvs_work,load_skew,p_to_d_debt,p_utilization,regime,strategy,token_hit_rate,visibility_delay_work,waste_fraction
0.8,183166,False,MEMORY_BOUND-0.8x-DECODE_CAUSAL,,0.10032906333333333,cc2c3e4c5f517cbe5277b34318bfb0701c452bc3d28d304ad866ead330bddfa3,1.0,3.239198,1.0060149101999323,0,0.05805516866666667,MEMORY_BOUND,DECODE_CAUSAL,0.5705802921392725,0.0,0.0
1.0,183166,False,MEMORY_BOUND-1.0x-BASELINE,,0.10032906333333333,12106ee7b07fd2d54fb41db1ec1fa25fc979d8f52b1b6691197b9c8ca2d599d4,1.0,2.9240515,1.0110132158590308,0.0,0.05841640466666667,MEMORY_BOUND,BASELINE,0.5679083188912154,0.0,0.0
1.0,183166,False,MEMORY_BOUND-1.0x-PRICED_SPILL,,0.10032906333333333,8309af3e42f8d2561d27ad68fca5c3d786af5ebf43cf21865432e464aae502ab,1.0,3.240094,1.0063537783802101,0.0,0.05805516866666667,MEMORY_BOUND,PRICED_SPILL,0.5705802921392725,0.0,0.0
1.0,183166,False,MEMORY_BOUND-1.0x-DECODE_CAUSAL,,0.10032906333333333,808131cbe27f811604b801df54d8babd30f4f69ca6b7f9a399f12327068991a5,1.0,3.239198,1.0060149101999323,0,0.05805516866666667,MEMORY_BOUND,DECODE_CAUSAL,0.5705802921392725,0.0,0.0
1.2,183166,False,MEMORY_BOUND-1.2x-BASELINE,,0.10032906333333333,a6b4cce25f9dec307dda4084c02271de7c5f8fcc7c325dfd495bf077c6c6023b,1.0,2.9240515,1.0110132158590308,0.0,0.05841640466666667,MEMORY_BOUND,BASELINE,0.5679083188912154,0.0,0.0
1.2,183166,False,MEMORY_BOUND-1.2x-PRICED_SPILL,,0.10032906333333333,e0c0714f645c4a7021bb794341f53d5eb5334da52fdc93982cb057b16bfc4a84,1.0,3.240094,1.0063537783802101,0.0,0.05805516866666667,MEMORY_BOUND,PRICED_SPILL,0.5705802921392725,0.0,0.0
1.2,183166,False,MEMORY_BOUND-1.2x-DECODE_CAUSAL,,0.10032906333333333,2f46754feac2044e21e634fbdd67a5aa9380b1fc6a8399c34e92a6c7dffeb305,1.0,3.239198,1.0060149101999323,0,0.05805516866666667,MEMORY_BOUND,DECODE_CAUSAL,0.5705802921392725,0.0,0.0
1.5,183166,False,MEMORY_BOUND-1.5x-BASELINE,,0.10032906333333333,e96ab56bd0d85bd9e382b8a74eaa7c2be0349fa13fc86482fb1963707db827af,1.0,2.9240515,1.0110132158590308,0.0,0.05841640466666667,MEMORY_BOUND,BASELINE,0.5679083188912154,0.0,0.0
1.5,183166,False,MEMORY_BOUND-1.5x-PRICED_SPILL,,0.10032906333333333,9a47a2f87e2bf6382df9b47f6302a9d6e388612867c3ec42c6e47551a872b94c,1.0,3.240094,1.0063537783802101,0.0,0.05805516866666667,MEMORY_BOUND,PRICED_SPILL,0.5705802921392725,0.0,0.0
1.5,183166,False,MEMORY_BOUND-1.5x-DECODE_CAUSAL,,0.10032906333333333,657e18c1f8bd7599320a811961141b8b54a0aca8c3cb3e54d221b4c3eee51b5b,1.0,3.239198,1.0060149101999323,0,0.05805516866666667,MEMORY_BOUND,DECODE_CAUSAL,0.5705802921392725,0.0,0.0
2.0,183166,False,MEMORY_BOUND-2.0x-BASELINE,,0.10032906333333333,c88175af87b9ea47c3361e5ededa36cff692dc97437012dfcec687e70ec9cdb2,1.0,2.9275075,1.010843781768892,0.0,0.05841538066666666,MEMORY_BOUND,BASELINE,0.5679158931656676,0.0,0.0
2.0,183166,False,MEMORY_BOUND-2.0x-PRICED_SPILL,,0.10032906333333333,55b691b336f699bdd0cc55d30ef1d9118337255718d435027c0d6e9a9833af5a,1.0,3.237022,1.0060149101999323,0.0,0.05805516866666667,MEMORY_BOUND,PRICED_SPILL,0.5705802921392725,0.0,0.0
2.0,183166,False,MEMORY_BOUND-2.0x-DECODE_CAUSAL,,0.10032906333333333,6f3efa82c687650c51941c89af049f1cec13f1f83dc8e37f691a247266a433fb,1.0,3.237406,1.0058454761097932,0,0.05805516866666667,MEMORY_BOUND,DECODE_CAUSAL,0.5705802921392725,0.0,0.0
0.8,183166,False,MIXED-0.8x-BASELINE,,0.07166361666666667,9eb9aa3c6bfd5d26888ca84575b78694de9f2e5d72e62c48c07cb755bc02d9b4,1.0,1.7544309,1.0110979329041003,0.0,0.08293966198666666,MIXED,BASELINE,0.5679689130868328,0.0,0.0
0.8,183166,False,MIXED-0.8x-PRICED_SPILL,,0.07166361666666667,744a999d73162cfcc770e494cd01b76c9a31e38a4d45a50ba6becf06bd530112,1.0,1.9440564,1.0064384954252796,0.0,0.08242670686666667,MIXED,PRICED_SPILL,0.57064088633489,0.0,0.0
0.8,183166,False,MIXED-0.8x-DECODE_CAUSAL,,0.07166361666666667,9ec37a435b903021dfbb30eff6700e6cfe31d17ce3f2d7a73f2af0642338381d,1.0,1.9435187999999999,1.0060996272450018,0,0.08242670686666667,MIXED,DECODE_CAUSAL,0.57064088633489,0.0,0.0
1.0,183166,False,MIXED-1.0x-BASELINE,,0.07166361666666667,00af74740dd608a29f4e427b818bf8b2dff7b0d131596969d0acf453ca6a1a29,1.0,1.7544309,1.0110979329041003,0.0,0.08293966198666666,MIXED,BASELINE,0.5679689130868328,0.0,0.0
1.0,183166,False,MIXED-1.0x-PRICED_SPILL,,0.07166361666666667,c5229703223da5735e7690b661514f6de6df6fa26b8dc189ef358250efcbee0e,1.0,1.9440564,1.0064384954252796,0.0,0.08242670686666667,MIXED,PRICED_SPILL,0.57064088633489,0.0,0.0
1.0,183166,False,MIXED-1.0x-DECODE_CAUSAL,,0.07166361666666667,4cd26f99156f30753ff36555d1b18a8b82c231a68b6a3f0f520fc7cf03030f24,1.0,1.9435187999999999,1.0060996272450018,0,0.08242670686666667,MIXED,DECODE_CAUSAL,0.57064088633489,0.0,0.0
1.2,183166,False,MIXED-1.2x-BASELINE,,0.07166361666666667,b76aff13ef56350dcb9807e312d9fe30891661021629c336ebc9fa0b901c68a0,1.0,1.7545845,1.010843781768892,0.0,0.08293820790666667,MIXED,BASELINE,0.567976487361285,0.0,0.0
1.2,183166,False,MIXED-1.2x-PRICED_SPILL,,0.07166361666666667,14c016f4d8fb4896b8d9f75a4957abd4de638e0be2c84c98ad05e9c7b909d850,1.0,1.9440564,1.006184344290071,0.0,0.08242670686666667,MIXED,PRICED_SPILL,0.57064088633489,0.0,0.0
1.2,183166,False,MIXED-1.2x-DECODE_CAUSAL,,0.07166361666666667,03b2eb56d48b7f254abdd559667482c47fc5b187c2c2ca6d7cb94273fcd1ebaa,1.0,1.9435187999999999,1.0058454761097932,0,0.08242670686666667,MIXED,DECODE_CAUSAL,0.57064088633489,0.0,0.0
1.5,183166,False,MIXED-1.5x-BASELINE,,0.07166361666666667,a4c7c6c0e9b571513dac76d444d109210f0dd8dbfd84cc17e042dc4f90e712a3,1.0,1.7551989,1.010166045408336,0.0,0.08293723852000001,MIXED,BASELINE,0.5679815368775866,0.0,0.0
1.5,183166,False,MIXED-1.5x-PRICED_SPILL,,0.07166361666666667,b1cf987edbbd22625cd059d9f3f0fde8a1f7a0b72bb9835145c7d14fdac1f0ae,1.0,1.9414452,1.0058454761097932,0.0,0.08242670686666667,MIXED,PRICED_SPILL,0.57064088633489,0.0,0.0
1.5,183166,False,MIXED-1.5x-DECODE_CAUSAL,,0.07403628333333333,16420419c6b8b1cc837f9786b2c00dc66acc1d3dbb552c80031581cf109a034d,1.0,1.6938431999999999,1.2319552694002034,0,0.08242634429333334,MIXED,DECODE_CAUSAL,0.7610743315083147,0.0,0.015164430654507823
2.0,183166,False,MIXED-2.0x-BASELINE,,0.07166361666666667,bb181ab41982b126cfb3a75619a7031349b8e7185d4a8a0ddfadc4da75d38b78,1.0,1.7214196499999999,1.0102507624534056,0.0,0.08293865946666666,MIXED,BASELINE,0.5679741351940235,0.0,0.0
2.0,183166,False,MIXED-2.0x-PRICED_SPILL,,0.07166361666666667,bca50c422bb731774a14e913f33799ae6842891d55c85ad9cb857939c9c1ee75,1.0,1.8952574999999998,1.005252456794307,0.0,0.08242670686666667,MIXED,PRICED_SPILL,0.57064088633489,0.0,0.0
2.0,183166,False,MIXED-2.0x-DECODE_CAUSAL,,0.07166361666666667,ba0b8f10af2103c0e089710afaf8f52750d70e2c653572c542ac29699697476d,1.0,1.8975615,1.0049135886140292,0,0.08242670686666667,MIXED,DECODE_CAUSAL,0.57064088633489,0.0,0.0
